Energy (eV),n 10°,Dichroism 10°,Birefringence 10°,n 80°,Dichroism 80°,Birefringence 80°
253.0,"(np.complex128(0.0020302303106099107+0.00026974358910498644j), np.complex128(0.001958025783293222+0.0002697435891049864j))",5.421010862427522e-20,7.220452731668877e-05,"(np.complex128(0.001958025783293222+0.0002697435891049865j), np.complex128(0.0020302303106099107+0.00026974358910498644j))",5.421010862427522e-20,-7.220452731668877e-05
253.1,"(np.complex128(0.0020270204196597913+0.00026938755113966846j), np.complex128(0.0019545119102937227+0.00026938755113966846j))",0.0,7.250850936606863e-05,"(np.complex128(0.0019545119102937227+0.0002693875511396685j), np.complex128(0.0020270204196597913+0.00026938755113966846j))",5.421010862427522e-20,-7.250850936606863e-05
253.2,"(np.complex128(0.0020238105287096715+0.0002690315131743505j), np.complex128(0.001950998037294223+0.0002690315131743505j))",0.0,7.281249141544849e-05,"(np.complex128(0.001950998037294223+0.00026903151317435054j), np.complex128(0.0020238105287096715+0.0002690315131743505j))",5.421010862427522e-20,-7.281249141544849e-05
253.3,"(np.complex128(0.002020600637759552+0.00026867547520903256j), np.complex128(0.0019474841642947239+0.0002686754752090325j))",5.421010862427522e-20,7.311647346482835e-05,"(np.complex128(0.0019474841642947239+0.00026867547520903256j), np.complex128(0.002020600637759552+0.00026867547520903256j))",0.0,-7.311647346482835e-05
253.4,"(np.complex128(0.002017390746809433+0.0002683194372437146j), np.complex128(0.0019439702912952244+0.00026831943724371453j))",5.421010862427522e-20,7.342045551420842e-05,"(np.complex128(0.0019439702912952244+0.0002683194372437146j), np.complex128(0.002017390746809433+0.0002683194372437146j))",0.0,-7.342045551420842e-05
253.5,"(np.complex128(0.002014180855859313+0.0002679633992783966j), np.complex128(0.0019404564182957252+0.00026796339927839656j))",5.421010862427522e-20,7.372443756358785e-05,"(np.complex128(0.0019404564182957252+0.0002679633992783966j), np.complex128(0.002014180855859313+0.0002679633992783966j))",0.0,-7.372443756358785e-05
253.6,"(np.complex128(0.0020109600485311396+0.0002676099952757835j), np.complex128(0.0019369174649306287+0.0002676099952757834j))",5.421010862427522e-20,7.404258360051087e-05,"(np.complex128(0.0019369174649306287+0.0002676099952757835j), np.complex128(0.0020109600485311396+0.0002676099952757835j))",0.0,-7.404258360051087e-05
253.7,"(np.complex128(0.0020077104616608235+0.00026726353535666504j), np.complex128(0.0019333123906016846+0.000267263535356665j))",5.421010862427522e-20,7.439807105913887e-05,"(np.complex128(0.0019333123906016846+0.00026726353535666504j), np.complex128(0.0020077104616608235+0.00026726353535666504j))",0.0,-7.439807105913887e-05
253.8,"(np.complex128(0.0020044608747905074+0.0002669170754375466j), np.complex128(0.0019297073162727408+0.00026691707543754654j))",5.421010862427522e-20,7.475355851776664e-05,"(np.complex128(0.0019297073162727408+0.0002669170754375466j), np.complex128(0.0020044608747905074+0.0002669170754375466j))",0.0,-7.475355851776664e-05
253.9,"(np.complex128(0.0020012112879201917+0.0002665706155184282j), np.complex128(0.0019261022419437967+0.00026657061551842815j))",5.421010862427522e-20,7.510904597639507e-05,"(np.complex128(0.0019261022419437967+0.00026657061551842815j), np.complex128(0.0020012112879201917+0.0002665706155184282j))",-5.421010862427522e-20,-7.510904597639507e-05
254.0,"(np.complex128(0.0019979617010498756+0.00026622415559930977j), np.complex128(0.0019224971676148526+0.0002662241555993097j))",5.421010862427522e-20,7.546453343502306e-05,"(np.complex128(0.0019224971676148526+0.00026622415559930977j), np.complex128(0.0019979617010498756+0.00026622415559930977j))",0.0,-7.546453343502306e-05
254.1,"(np.complex128(0.0019947121141795595+0.0002658776956801913j), np.complex128(0.0019188920932859085+0.00026587769568019127j))",5.421010862427522e-20,7.582002089365106e-05,"(np.complex128(0.0019188920932859085+0.0002658776956801913j), np.complex128(0.0019947121141795595+0.0002658776956801913j))",0.0,-7.582002089365106e-05
