eV_,xxTotalf0,zzTotalf0
284.50225113,5.2145023e-08,0.030215994
284.52226113,5.3780646e-08,0.031568408
284.54227114,5.5210858e-08,0.032746118
284.56228114,5.6389425e-08,0.03372613
284.58229115,5.7278331e-08,0.034490675
284.60230115,5.7849213e-08,0.035028026
284.62231116,5.808441e-08,0.035332914
284.64232116,5.7977676e-08,0.035406847
284.66233117,5.753434e-08,0.035258081
284.68234117,5.6771025e-08,0.034901362
284.70235118,5.5715002e-08,0.034357458
284.72236118,5.4403149e-08,0.033652376
284.74237119,5.2880413e-08,0.032816384
284.76238119,5.1198185e-08,0.031882945
284.7823912,4.9412378e-08,0.030887423
284.8024012,4.7581423e-08,0.029865719
284.82241121,4.576416e-08,0.028852981
284.84242121,4.4017831e-08,0.027882246
284.86243122,4.2396117e-08,0.026983222
284.88244122,4.0947441e-08,0.026181169
284.90245123,3.9713331e-08,0.025496013
284.92246123,3.8727318e-08,0.024941674
284.94247124,3.8013837e-08,0.024525585
284.96248124,3.7587707e-08,0.024248548
284.98249125,3.7453773e-08,0.024104849
285.00250125,3.7606945e-08,0.024082625
285.02251126,3.8032521e-08,0.024164503
285.04252126,3.8706887e-08,0.024328459
285.06253127,3.9598323e-08,0.02454886
285.08254127,4.0668137e-08,0.024797648
285.10255128,4.1872074e-08,0.025045587
285.12256128,4.3161581e-08,0.025263591
285.14257129,4.4485496e-08,0.025423912
285.16258129,4.5791577e-08,0.025501363
285.1825913,4.7028077e-08,0.025474271
285.2026013,4.8145441e-08,0.025325313
285.22261131,4.909753e-08,0.025042137
285.24262131,4.9843269e-08,0.024617663
285.26263132,5.0347545e-08,0.024050228
285.28264132,5.0582436e-08,0.02334342
285.30265133,5.0527849e-08,0.022505715
285.32266133,5.0172034e-08,0.02154992
285.34267134,4.951179e-08,0.020492449
285.36268134,4.8552653e-08,0.019352484
285.38269135,4.73085e-08,0.018151104
285.40270135,4.5801173e-08,0.016910374
285.42271136,4.4060116e-08,0.01565244
285.44272136,4.2121766e-08,0.014398772
285.46273137,4.0029398e-08,0.013169426
285.48274137,3.78331e-08,0.011982472
285.50275138,3.5591146e-08,0.010853576
285.52276138,3.3371851e-08,0.0097956918
285.54277139,3.1258207e-08,0.0088189458
285.56278139,2.9355112e-08,0.0079306057
285.5827914,2.7800915e-08,0.0071352283
285.6028014,2.6785594e-08,0.0064348634
285.62281141,2.65777e-08,0.0058293631
285.64282141,2.7563413e-08,0.0053167385
285.66283142,3.0303273e-08,0.0048935525
285.68284142,3.5612349e-08,0.0045553213
285.70285143,4.4671612e-08,0.0042968998
285.72286143,5.9181634e-08,0.0041128532
285.74287144,8.1571358e-08,0.0039977622
285.76288144,1.1527807e-07,0.0039464859
285.78289145,1.6511606e-07,0.0039543551
285.80290145,2.3776096e-07,0.0040172935
285.82291146,3.4236513e-07,0.0041318643
285.84292146,4.9134593e-07,0.0042952541
285.86293147,7.0136053e-07,0.004505177
285.88294147,9.9449721e-07,0.0047597378
285.90295148,1.3997227e-06,0.0050572362
285.92296148,1.9545691e-06,0.0053959545
285.94297149,2.7071023e-06,0.0057739159
285.96298149,3.7181235e-06,0.0061886576
285.9829915,5.0635954e-06,0.0066370205
286.0030015,6.8372156e-06,0.0071149864
286.02301151,9.1530374e-06,0.0076175537
286.04302151,1.2148002e-05,0.0081387032
286.06303152,1.5984209e-05,0.0086714281
286.08304152,2.0850697e-05,0.0092078503
286.10305153,2.6964477e-05,0.0097394167
286.12306153,3.4570541e-05,0.010257176
286.14307154,4.3940501e-05,0.010752108
286.16308154,5.5369634e-05,0.011215499
286.18309155,6.917202e-05,0.011639347
286.20310155,8.5673462e-05,0.012016747
286.22311156,0.00010520237,0.012342257
286.24312156,0.00012807817,0.012612206
286.26313157,0.00015459792,0.012824913
286.28314157,0.0001850207,0.012980824
286.30315158,0.0002195511,0.013082515
286.32316158,0.00025832266,0.013134602
286.34317159,0.00030138035,0.0131435
286.36318159,0.00034866552,0.013117125
286.3831916,0.0004000034,0.013064455
286.4032016,0.0004550934,0.012995064
286.42321161,0.00051350461,0.012918595
286.44322161,0.00057467702,0.012844239
286.46323162,0.00063792878,0.012780244
286.48324162,0.00070247106,0.012733465
286.50325163,0.00076742662,0.012709001
286.52326163,0.00083185785,0.012709956
286.54327164,0.0008947982,0.012737286
286.56328164,0.00095528783,0.012789801
286.58329165,0.0010124097,0.012864276
286.60330165,0.0010653281,0.01295568
286.62331166,0.0011133231,0.013057498
286.64332166,0.001155821,0.013162156
286.66333167,0.0011924187,0.01326145
286.68334167,0.0012229007,0.013347034
286.70335168,0.0012472443,0.013410872
286.72336168,0.0012656201,0.013445677
286.74337169,0.0012783773,0.013445255
286.76338169,0.0012860214,0.013404809
286.7833917,0.0012891901,0.013321102
286.8034017,0.0012886121,0.013192556
286.82341171,0.0012850737,0.013019232
286.84342171,0.0012793749,0.012802734
286.86343172,0.0012722937,0.012546008
286.88344172,0.0012645493,0.012253122
286.90345173,0.0012567717,0.011928966
286.92346173,0.0012494795,0.01157898
286.94347174,0.0012430658,0.011208822
286.96348174,0.0012377901,0.010824152
286.98349175,0.0012337801,0.010430377
287.00350175,0.0012310433,0.010032488
287.02351176,0.0012294785,0.0096349465
287.04352176,0.0012288967,0.0092416322
287.06353177,0.0012290471,0.0088558486
287.08354177,0.0012296371,0.0084803626
287.10355178,0.0012303557,0.0081174821
