eV_,Total_Specf0
290.24512256,0.025914218
290.26513257,0.026214434
290.28514257,0.026469614
290.30515258,0.026675403
290.32516258,0.026828038
290.34517259,0.026924782
290.36518259,0.026963728
290.3851926,0.026944246
290.4052026,0.026866706
290.42521261,0.026732715
290.44522261,0.026545092
290.46523262,0.026307592
290.48524262,0.026025033
290.50525263,0.025703102
290.52526263,0.025347965
290.54527264,0.024966439
290.56528264,0.024565626
290.58529265,0.02415259
290.60530265,0.023734363
290.62531266,0.023317674
290.64532266,0.022908872
290.66533267,0.022513717
290.68534267,0.022137308
290.70535268,0.021784041
290.72536268,0.021457558
290.74537269,0.021160735
290.76538269,0.020895714
290.7853927,0.020663854
290.8054027,0.020465896
290.82541271,0.020302072
290.84542271,0.020171952
290.86543272,0.020074725
290.88544272,0.020009264
290.90545273,0.019974077
290.92546273,0.019967513
290.94547274,0.019987794
290.96548274,0.020033011
290.98549275,0.020101205
291.00550275,0.020190479
291.02551276,0.020298919
291.04552276,0.020424727
291.06553277,0.020566195
291.08554277,0.020721553
291.10555278,0.020889297
291.12556278,0.021067986
291.14557279,0.021256212
291.16558279,0.021452738
291.1855928,0.021656392
291.2056028,0.021866055
291.22561281,0.022080837
291.24562281,0.022299703
291.26563282,0.022521812
291.28564282,0.022746464
291.30565283,0.0229729
291.32566283,0.023200458
291.34567284,0.023428524
291.36568284,0.023656566
291.38569285,0.023884099
291.40570285,0.024110589
291.42571286,0.024335731
291.44572286,0.024559045
291.46573287,0.02478024
291.48574287,0.024999034
291.50575288,0.025215145
291.52576288,0.025428345
291.54577289,0.025638461
291.56578289,0.025845312
291.5857929,0.026048759
291.6058029,0.026248695
291.62581291,0.026445072
291.64582291,0.026637785
291.66583292,0.026826879
291.68584292,0.027012182
291.70585293,0.027193874
291.72586293,0.027371924
291.74587294,0.027546337
291.76588294,0.02771721
291.78589295,0.027884588
291.80590295,0.028048528
291.82591296,0.028209176
291.84592296,0.028366577
291.86593297,0.028520804
291.88594297,0.028671987
291.90595298,0.028820246
291.92596298,0.028965684
291.94597299,0.029108375
291.96598299,0.029248446
291.985993,0.029385991
292.006003,0.029521111
292.02601301,0.029653933
292.04602301,0.029784465
292.06603302,0.029912869
292.08604302,0.030039167
292.10605303,0.030163525
292.12606303,0.030285941
292.14607304,0.030406484
292.16608304,0.030525243
292.18609305,0.030642204
292.20610305,0.030757418
292.22611306,0.030870968
292.24612306,0.030982859
292.26613307,0.0310931
292.28614307,0.031201676
292.30615308,0.031308569
292.32616308,0.031413931
292.34617309,0.031517528
292.36618309,0.031619508
292.3861931,0.0317198
292.4062031,0.031818327
292.42621311,0.031915072
292.44622311,0.03201
292.46623312,0.03210301
292.48624312,0.032194119
292.50625313,0.032283202
292.52626313,0.032370199
292.54627314,0.032454997
292.56628314,0.032537568
292.58629315,0.032617752
292.60630315,0.032695543
292.62631316,0.032770775
292.64632316,0.0328434
292.66633317,0.032913219
292.68634317,0.032980252
292.70635318,0.033044312
292.72636318,0.033105273
292.74637319,0.033163119
292.76638319,0.03321768
292.7863932,0.033268757
292.8064032,0.033316374
292.82641321,0.033360291
292.84642321,0.033400577
292.86643322,0.033436965
292.88644322,0.033469375
292.90645323,0.033497769
292.92646323,0.03352204
292.94647324,0.033542026
292.96648324,0.033557739
292.98649325,0.033568989
293.00650325,0.033575915
293.02651326,0.033578165
293.04652326,0.033575945
293.06653327,0.033568986
293.08654327,0.033557415
293.10655328,0.03354115
293.12656328,0.033520121
293.14657329,0.033494409
293.16658329,0.033463895
293.1865933,0.033428743
293.2066033,0.033388853
293.22661331,0.033344306
293.24662331,0.033295136
293.26663332,0.033241373
293.28664332,0.033183157
293.30665333,0.033120528
293.32666333,0.033053458
293.34667334,0.032982212
293.36668334,0.032906726
293.38669335,0.032827262
293.40670335,0.032743871
293.42671336,0.032656718
293.44672336,0.032565895
293.46673337,0.032471549
293.48674337,0.032373883
293.50675338,0.03227305
293.52676338,0.032169148
293.54677339,0.032062419
293.56678339,0.03195297
293.5867934,0.031841073
293.6068034,0.031726841
293.62681341,0.031610496
293.64682341,0.03149211
293.66683342,0.031372048
293.68684342,0.031250414
293.70685343,0.031127455
293.72686343,0.031003231
293.74687344,0.030878033
293.76688344,0.030752016
293.78689345,0.030625351
293.80690345,0.030498248
293.82691346,0.030370833
293.84692346,0.03024335
293.86693347,0.030115897
293.88694347,0.029988702
293.90695348,0.029861892
293.92696348,0.029735627
293.94697349,0.029610042
293.96698349,0.029485278
293.9869935,0.029361503
294.0070035,0.029238807
294.02701351,0.029117333
294.04702351,0.028997177
294.06703352,0.028878519
294.08704352,0.028761346
294.10705353,0.028645782
294.12706353,0.028532006
294.14707354,0.028420029
294.16708354,0.028309895
294.18709355,0.028201731
294.20710355,0.028095555
294.22711356,0.027991461
294.24712356,0.02788946
294.26713357,0.027789619
294.28714357,0.02769194
294.30715358,0.02759649
294.32716358,0.027503246
294.34717359,0.027412307
294.36718359,0.027323605
294.3871936,0.027237212
294.4072036,0.027153086
294.42721361,0.027071197
294.44722361,0.026991621
294.46723362,0.026914323
294.48724362,0.026839251
294.50725363,0.026766427
294.52726363,0.02669584
294.54727364,0.026627427
294.56728364,0.026561173
294.58729365,0.026497103
294.60730365,0.026435137
294.62731366,0.026375256
294.64732366,0.026317449
294.66733367,0.026261628
294.68734367,0.026207848
294.70735368,0.026156025
294.72736368,0.02610611
294.74737369,0.026058089
294.76738369,0.026011879
294.7873937,0.02596754
294.8074037,0.025924962
294.82741371,0.025884112
294.84742371,0.025844969
294.86743372,0.025807464
294.88744372,0.02577159
294.90745373,0.025737355
294.92746373,0.025704697
294.94747374,0.025673496
294.96748374,0.025643831
294.98749375,0.02561561
295.00750375,0.025588822
295.02751376,0.025563449
295.04752376,0.025539437
295.06753377,0.025516748
295.08754377,0.025495386
295.10755378,0.025475305
295.12756378,0.025456486
295.14757379,0.025438922
295.16758379,0.02542253
295.1875938,0.025407346
295.2076038,0.025393294
295.22761381,0.025380375
295.24762381,0.02536864
295.26763382,0.025357917
295.28764382,0.025348347
295.30765383,0.025339786
295.32766383,0.025332298
295.34767384,0.02532584
295.36768384,0.025320387
295.38769385,0.02531594
295.40770385,0.025312467
295.42771386,0.025309931
295.44772386,0.025308389
295.46773387,0.025307771
295.48774387,0.025308061
295.50775388,0.025309261
295.52776388,0.025311384
295.54777389,0.025314378
295.56778389,0.02531825
295.5877939,0.025322979
295.6078039,0.025328582
295.62781391,0.025335032
295.64782391,0.025342254
295.66783392,0.025350362
295.68784392,0.025359254
295.70785393,0.025368936
295.72786393,0.025379412
295.74787394,0.025390672
295.76788394,0.025402658
295.78789395,0.025415406
295.80790395,0.025428889
295.82791396,0.025443111
295.84792396,0.025458034
295.86793397,0.025473686
295.88794397,0.025490021
295.90795398,0.025507066
295.92796398,0.025524734
295.94797399,0.025543086
295.96798399,0.025562074
295.987994,0.025581691
296.008004,0.025601931
296.02801401,0.025622759
296.04802401,0.025644194
296.06803402,0.025666185
296.08804402,0.025688766
296.10805403,0.025711862
296.12806403,0.025735516
296.14807404,0.025759697
296.16808404,0.02578436
296.18809405,0.02580951
296.20810405,0.025835138
296.22811406,0.025861243
296.24812406,0.025887782
296.26813407,0.025914732
296.28814407,0.025942104
296.30815408,0.025969876
296.32816408,0.025998032
296.34817409,0.026026536
296.36818409,0.026055349
296.3881941,0.026084537
296.4082041,0.026113987
296.42821411,0.026143793
296.44822411,0.026173841
296.46823412,0.02620413
296.48824412,0.026234685
296.50825413,0.026265461
296.52826413,0.026296459
296.54827414,0.026327627
296.56828414,0.026358955
296.58829415,0.026390433
296.60830415,0.026422055
296.62831416,0.026453827
296.64832416,0.026485691
296.66833417,0.026517617
296.68834417,0.026549604
296.70835418,0.026581652
296.72836418,0.026613755
296.74837419,0.026645852
296.76838419,0.026677927
296.7883942,0.026710005
296.8084042,0.026742019
296.82841421,0.026773978
296.84842421,0.026805896
296.86843422,0.02683772
296.88844422,0.026869465
296.90845423,0.026901037
296.92846423,0.026932491
296.94847424,0.0269638
296.96848424,0.026994936
296.98849425,0.027025839
297.00850425,0.027056606
