Date: 11/15/2024

From File
Beamline Energy
Y:\Collins\2024Nov\Macros\carbon_nexafs.txt
: -3.00000000
: 3.00000000
: 0.50000000
Delay After Move (s): 0.10000000
Count Time (s): 5.00000000
Scan Number: 1
Bi-directional: No
Stay at End: 0
Description Length: 7
pol=100
Time of Day	Time (s)	Beamline Energy	EPU Polarization	Coolstage Temp C	CCD Temperature	Beam Current	TEY signal	Izero	Photodiode	AI 0	AI 3 Izero	AI 5	AI 6 BeamStop	AI 7	Temperature Controller	PZT Shutter	Pause Trigger	LV Memory	Time Stamp Error	Time Stamp Transmit Time	Time Stamp Server Time	Camera Temp Setpoint
21:45:52	433.75200000	287.30254427	100.00000000	0.00000000	-40.00000000	500.92375183	0.03668399	-0.13389223	4.45761048E-6	0.04199565	0.16196652	0.16235145	-0.90152850	0.00013486	0.00000000	8.50000000	0.00000000	1212324.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:45:59	440.09000000	287.40234086	100.00000000	0.00000000	-40.00000000	501.17594910	0.03485444	-0.13247958	4.52993577E-6	0.04065569	0.16086832	0.16106745	-0.90441822	0.00013318	0.00000000	8.50000000	0.00000000	1212356.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:46:05	446.50900000	287.49970931	100.00000000	0.00000000	-40.00000000	500.99470520	0.03275634	-0.13282773	1.04244474E-5	0.03837649	0.16002449	0.15989220	-0.90096962	0.00014988	0.00000000	8.50000000	0.00000000	1212356.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:46:11	452.74300000	287.59964293	100.00000000	0.00000000	-40.00000000	500.81280518	0.03036264	-0.13047683	1.09077119E-5	0.03400706	0.15865951	0.15901269	-0.90397769	0.00014347	0.00000000	8.50000000	0.00000000	1212320.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:46:17	458.67000000	287.69964605	100.00000000	0.00000000	-40.00000000	500.64002991	0.02878461	-0.13343526	5.51290229E-6	0.03617159	0.15759810	0.15768700	-0.90504285	0.00014091	0.00000000	8.50000000	0.00000000	1212312.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:46:23	464.76600000	287.80222143	100.00000000	0.00000000	-40.00000000	500.46792603	0.02768909	-0.13199106	4.73144150E-7	0.04141932	0.15653696	0.15666277	-0.90250818	0.00012111	0.00000000	8.50000000	0.00000000	1212332.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:46:30	471.15000000	287.90236549	100.00000000	0.00000000	-40.00000000	500.59294128	0.02714537	-0.13248254	1.56187187E-5	0.03922707	0.15523330	0.15558467	-0.90328403	0.00012345	0.00000000	8.50000000	0.00000000	1212328.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:46:36	477.29300000	288.00508550	100.00000000	0.00000000	-40.00000000	500.41670227	0.02692644	-0.12992026	1.10096248E-5	0.04137096	0.15376483	0.15381605	-0.90860651	0.00012440	0.00000000	8.50000000	0.00000000	1212604.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:46:42	483.59500000	288.10035487	100.00000000	0.00000000	-40.00000000	500.23426819	0.02653526	-0.13114913	-1.45333873E-6	0.05337084	0.15205887	0.15230093	-0.89969406	0.00012335	0.00000000	8.50000000	0.00000000	1212624.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:46:49	489.97600000	288.19568729	100.00000000	0.00000000	-40.00000000	500.04765320	0.02599200	-0.13253613	-7.26798197E-7	0.03179193	0.15025764	0.15029716	-0.89988803	0.00014367	0.00000000	8.50000000	0.00000000	1212600.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
