energy,os,wid,mu_x,mu_y,mu_z,theta,sym,xx,yy,zz,xy,xz,yz,atom,mo,cluster
290.00314,5.3e-05,0.39989471,0.70710677,0.70710677,0.00020858695,89.988052,1,2.6376905e-05,2.6376905e-05,2.2952402e-12,0,0,0,2,183,11,1
290.03833,0.0028550001,0.40571311,0.0006924718,0.0006924718,0.99999952,0.05595291,1,1.369017e-09,1.369017e-09,0.0028549873,0,0,0,2,184,11,1
290.05856,7.2000003e-05,0.44378987,0.012199542,0.012199542,0.99985117,0.98853564,1,1.0739159e-08,1.0739159e-08,7.2136325e-05,0,0,0,3,189,11,1
290.07669,0.000116,0.21231422,0.00095591898,0.00095591898,0.99999911,0.076616682,1,1.0557459e-10,1.0557459e-10,0.00011553575,0,0,0,1,148,11,1
290.09634,0.00026500001,0.41530025,0.010479461,0.010479461,0.99989015,0.84926713,1,2.905638e-08,2.905638e-08,0.00026452591,0,0,0,2,185,11,1
290.10623,0.00051699998,0.41693667,0.0024242804,0.0024242804,0.9999941,0.1968319,1,3.0377725e-09,3.0377725e-09,0.00051687367,0,0,0,2,186,11,1
290.10687,7.5000004e-05,0.45170259,0.29460034,0.29460034,0.90907717,24.621866,1,6.5267018e-06,6.5267018e-06,6.2148232e-05,0,0,0,3,190,11,1
290.12207,0.0039400002,0.45419273,0.0020170594,0.0020170594,0.99999595,0.16312942,1,1.6032478e-08,1.6032478e-08,0.0039405762,0,0,0,3,191,11,1
290.15454,9.8999997e-05,0.47143638,0.70374852,0.70374852,0.09734533,84.413673,1,4.9072511e-05,4.9072511e-05,9.3893073e-07,0,0,0,4,190,11,1
290.15997,0.000112,0.21231422,0.00027487808,0.00027487808,0.99999994,0.01978234,1,8.4617278e-12,8.4617278e-12,0.00011198987,0,0,0,1,153,11,1
290.16074,4.3e-05,0.42594525,0.26466587,0.26466587,0.92731005,21.98069,1,3.0029046e-06,3.0029046e-06,3.6863417e-05,0,0,0,2,188,11,1
290.17487,0.00196,0.47475594,0.00026572746,0.00026572746,0.99999994,0.01978234,1,1.3842821e-10,1.3842821e-10,0.0019604315,0,0,0,4,191,11,1
290.25244,0.0044439998,0.44110286,0.00032886249,0.00032886249,0.99999988,0.027976455,1,4.8060156e-10,4.8060156e-10,0.0044438196,0,0,0,2,189,11,1
290.25983,0.00040700001,0.44232604,0.027759125,0.027759125,0.99922913,2.2498586,1,3.1367253e-07,3.1367253e-07,0.00040643875,0,0,0,2,190,11,1
290.26794,5.7000001e-05,0.4899801,0.3059122,0.3059122,0.9015739,25.634274,1,5.3377075e-06,5.3377075e-06,4.6362176e-05,0,0,0,4,192,11,1
290.29309,7.1000002e-05,0.48220676,0.67835909,0.67835909,0.28223741,73.606216,1,3.2738106e-05,3.2738106e-05,5.6671329e-06,0,0,0,3,192,11,1
290.31134,4.8999998e-05,0.45083874,0.01665136,0.01665136,0.99972272,1.349297,1,1.3469756e-08,1.3469756e-08,4.8553378e-05,0,0,0,2,191,11,1
290.32309,0.000485,0.21231422,0.0012041408,0.0012041408,0.99999857,0.096913293,1,7.0326944e-10,7.0326944e-10,0.00048502701,0,0,0,1,156,11,1
290.32599,0.000485,0.21231422,0.00075902487,0.00075902487,0.9999994,0.062557258,1,2.7939226e-10,2.7939226e-10,0.0004849555,0,0,0,1,157,11,1
290.36087,4.3e-05,0.21382494,0.29901072,0.29901072,0.90619266,25.015604,1,3.8688454e-06,3.8688454e-06,3.5534402e-05,0,0,0,1,158,11,1
290.36798,0.000204,0.21506181,0.15511793,0.15511793,0.97564179,12.67202,1,4.913642e-06,4.913642e-06,0.0001943839,0,0,0,1,159,11,1
290.41397,0.00154,0.22307527,0.0017998531,0.0017998531,0.99999678,0.14536996,1,4.9901989e-09,4.9901989e-09,0.0015404265,0,0,0,1,160,11,1
290.41919,0.00049599999,0.22398114,0.0016095458,0.0016095458,0.99999744,0.12972151,1,1.2837891e-09,1.2837891e-09,0.00049554685,0,0,0,1,161,11,1
290.42477,4.3e-05,0.22495671,0.027239025,0.027239025,0.99925774,2.2077076,1,3.2218086e-08,3.2218086e-08,4.335825e-05,0,0,0,1,162,11,1
290.44327,0.00021300001,0.50681323,0.70709711,0.70709711,0.0052221478,89.70079,1,0.00010651253,0.00010651253,5.8095271e-09,0,0,0,3,193,11,1
290.45895,7.5999997e-05,0.52121335,0.70710146,0.70710146,0.0038852808,89.77739,1,3.8178328e-05,3.8178328e-05,1.1526522e-09,0,0,0,4,193,11,1
290.49826,4.3e-05,0.23776083,0.3776466,0.3776466,0.84543842,32.281059,1,6.1229252e-06,6.1229252e-06,3.068681e-05,0,0,0,1,163,11,1
290.50357,0.00066100003,0.23868412,0.00049225008,0.00049225008,0.99999976,0.039564684,1,1.6017812e-10,1.6017812e-10,0.00066104566,0,0,0,1,164,11,1
290.53134,6.7000001e-05,0.48720375,0.70710564,0.70710564,0.0018176704,89.895859,1,3.3731136e-05,3.3731136e-05,2.2289105e-10,0,0,0,2,193,11,1
290.53229,0.00082999998,0.5213936,0.70708936,0.70708936,0.0070223599,89.597649,1,0.00041492633,0.00041492633,4.0924984e-08,0,0,0,3,194,11,1
290.56305,0.00037600001,0.53823626,0.70710486,0.70710486,0.0023304604,89.866478,1,0.00018801162,0.00018801162,2.0422104e-09,0,0,0,4,196,11,1
290.69583,5.0999999e-05,0.51439488,0.70710677,0.70710677,0.00021632454,89.987602,1,2.5494004e-05,2.5494004e-05,2.3860503e-12,0,0,0,2,194,12,1
290.71548,4.8000002e-05,0.27559832,0.64832342,0.64832342,0.39919102,66.472382,1,2.0110188e-05,2.0110188e-05,7.6241995e-06,0,0,0,1,170,12,1
290.77567,0.00017,0.56126851,0.70710278,0.70710278,0.0033632775,89.807297,1,8.4774103e-05,8.4774103e-05,1.9178892e-09,0,0,0,3,197,12,1
290.79044,7.3000003e-05,0.57542181,0.70685899,0.70685899,0.026471138,88.483139,1,3.6337344e-05,3.6337344e-05,5.0960388e-08,0,0,0,4,198,12,1
290.81537,6.9000002e-05,0.56777239,0.7053268,0.7053268,0.070909426,85.933777,1,3.4426568e-05,3.4426568e-05,3.4795323e-07,0,0,0,3,198,12,1
290.84586,0.000176,0.58448106,0.099021219,0.099021219,0.99014628,8.049984,1,1.7236898e-06,1.7236898e-06,0.00017234603,0,0,0,4,200,12,1
290.87799,0.00045200001,0.57802778,0.0074929441,0.0074929441,0.99994385,0.60716283,1,2.5376428e-08,2.5376428e-08,0.00045193578,0,0,0,3,199,12,1
